Name,WORTMANN FX M2 AIRFOIL
Chord(mm),170
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
170.000000,0.000000
169.818100,-0.040800
169.272400,-0.164900
168.366300,-0.385900
167.103200,-0.690200
165.489900,-1.074400
163.529800,-1.519800
161.234800,-1.999200
158.611700,-2.519400
155.674100,-3.063400
152.435600,-3.648200
148.906400,-4.248300
145.103500,-4.882400
141.043900,-5.506300
136.744600,-6.162500
132.224300,-6.788100
127.500000,-7.447700
122.593800,-8.052900
117.527800,-8.717600
112.322400,-9.300700
106.999700,-9.958600
101.583500,-10.509400
96.094200,-11.153700
90.559000,-11.670500
85.000000,-12.287600
79.441000,-12.738100
73.905800,-13.297400
68.416500,-13.644200
63.000300,-14.120200
57.677600,-14.342900
52.472200,-14.705000
47.406200,-14.756000
42.500000,-14.975300
37.775700,-14.822300
33.255400,-14.875000
28.956100,-14.620000
24.896500,-14.315700
21.093600,-13.855000
17.564400,-13.156300
14.325900,-12.325000
11.388300,-11.313500
8.765200,-10.285000
6.470200,-8.843400
4.510100,-7.565000
2.896800,-5.982300
1.633700,-4.505000
0.727600,-3.015800
0.181900,-1.645600
0.000000,0.000000
0.181900,0.595000
0.727600,1.156000
1.633700,1.541900
2.896800,1.666000
4.510100,1.496000
6.470200,1.190000
8.765200,0.986000
11.388300,0.753100
14.325900,0.425000
17.564400,0.246500
21.093600,-0.017000
24.896500,-0.255000
28.956100,-0.476000
33.255400,-0.595000
37.775700,-0.804100
42.500000,-1.179800
47.406200,-1.242700
52.472200,-1.562300
57.677600,-1.615000
63.000300,-1.887000
68.416500,-1.922700
73.905800,-2.142000
79.441000,-2.162400
85.000000,-2.329000
90.559000,-2.330700
96.094200,-2.454800
101.583500,-2.437800
106.999700,-2.512600
112.322400,-2.473500
117.527800,-2.504100
122.593800,-2.444600
127.500000,-2.420800
132.224300,-2.305200
136.744600,-2.213400
141.043900,-2.068900
145.103500,-1.944800
148.906400,-1.781600
152.435600,-1.630300
155.674100,-1.446700
158.611700,-1.268200
161.234800,-1.072700
163.529800,-0.877200
165.489900,-0.664700
167.103200,-0.455600
168.366300,-0.272000
169.272400,-0.124100
169.818100,-0.034000
170.000000,0.000000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.181900,-0.525300
0.727600,-0.929900
1.633700,-1.481550
2.896800,-2.158150
4.510100,-3.034500
6.470200,-3.826700
8.765200,-4.649500
11.388300,-5.280200
14.325900,-5.950000
17.564400,-6.454900
21.093600,-6.936000
24.896500,-7.285350
28.956100,-7.548000
33.255400,-7.735000
37.775700,-7.813200
42.500000,-8.077550
47.406200,-7.999350
52.472200,-8.133650
57.677600,-7.978950
63.000300,-8.003600
68.416500,-7.783450
73.905800,-7.719700
79.441000,-7.450250
85.000000,-7.308300
90.559000,-7.000600
96.094200,-6.804250
101.583500,-6.473600
106.999700,-6.235600
112.322400,-5.887100
117.527800,-5.610850
122.593800,-5.248750
127.500000,-4.934250
132.224300,-4.546650
136.744600,-4.187950
141.043900,-3.787600
145.103500,-3.413600
148.906400,-3.014950
152.435600,-2.639250
155.674100,-2.255050
158.611700,-1.893800
161.234800,-1.535950
163.529800,-1.198500
165.489900,-0.869550
167.103200,-0.572900
168.366300,-0.328950
169.272400,-0.144500
169.818100,-0.037400
170.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
170.000000,0.000000
