
alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -15.000,     0.000,  -0.631862,   0.035605,   0.000000,   0.035605,   0.000000,  -0.000000,   0.348065,  -0.000000,  -0.000000,   12.6000,    0.5662
  -14.000,     0.000,  -0.542494,   0.031119,   0.000000,   0.031119,   0.000000,  -0.000000,   0.338978,  -0.000000,  -0.000000,   12.6000,    0.5835
  -13.000,     0.000,  -0.452648,   0.027234,   0.000000,   0.027234,   0.000000,  -0.000000,   0.329228,  -0.000000,  -0.000000,   12.6000,    0.6080
  -12.000,     0.000,  -0.362385,   0.023965,   0.000000,   0.023965,   0.000000,  -0.000000,   0.318827,  -0.000000,  -0.000000,   12.6000,    0.6452
  -11.000,     0.000,  -0.271765,   0.021327,   0.000000,   0.021327,   0.000000,  -0.000000,   0.307788,  -0.000000,  -0.000000,   12.6000,    0.7078
  -10.000,     0.000,  -0.180849,   0.019333,   0.000000,   0.019333,   0.000000,  -0.000000,   0.296125,  -0.000000,  -0.000000,   12.6000,    0.8339
   -9.000,     0.000,  -0.089699,   0.017993,   0.000000,   0.017993,   0.000000,  -0.000000,   0.283851,  -0.000000,  -0.000000,   12.6000,    1.2179
   -8.000,     0.000,   0.001621,   0.017318,   0.000000,   0.017318,   0.000000,  -0.000000,   0.270982,  -0.000000,  -0.000000,   12.6000,  -41.7135
   -7.000,     0.000,   0.093051,   0.017313,   0.000000,   0.017313,   0.000000,  -0.000000,   0.257533,  -0.000000,  -0.000000,   12.6000,   -0.2795
   -6.000,     0.000,   0.184524,   0.017983,   0.000000,   0.017983,   0.000000,  -0.000000,   0.243521,  -0.000000,  -0.000000,   12.6000,    0.0847
   -5.000,     0.000,   0.275979,   0.019331,   0.000000,   0.019331,   0.000000,  -0.000000,   0.228962,  -0.000000,  -0.000000,   12.6000,    0.2075
   -4.000,     0.000,   0.367352,   0.021358,   0.000000,   0.021358,   0.000000,  -0.000000,   0.213875,  -0.000000,  -0.000000,   12.6000,    0.2691
   -3.000,     0.000,   0.458578,   0.024062,   0.000000,   0.024062,   0.000000,  -0.000000,   0.198277,  -0.000000,  -0.000000,   12.6000,    0.3063
   -2.000,     0.000,   0.549595,   0.027439,   0.000000,   0.027439,   0.000000,  -0.000000,   0.182189,  -0.000000,  -0.000000,   12.6000,    0.3311
   -1.000,     0.000,   0.640339,   0.031485,   0.000000,   0.031485,   0.000000,  -0.000000,   0.165629,  -0.000000,  -0.000000,   12.6000,    0.3490
    0.000,     0.000,   0.730747,   0.036190,   0.000000,   0.036190,   0.000000,  -0.000000,   0.148617,  -0.000000,  -0.000000,   12.6000,    0.3625
    1.000,     0.000,   0.820757,   0.041546,   0.000000,   0.041546,   0.000000,  -0.000000,   0.131175,  -0.000000,  -0.000000,   12.6000,    0.3731
    2.000,     0.000,   0.910306,   0.047541,   0.000000,   0.047541,   0.000000,  -0.000000,   0.113323,  -0.000000,  -0.000000,   12.6000,    0.3817
    3.000,     0.000,   0.999335,   0.054161,   0.000000,   0.054161,   0.000000,  -0.000000,   0.095084,  -0.000000,  -0.000000,   12.6000,    0.3889
    4.000,     0.000,   1.087782,   0.061391,   0.000000,   0.061391,   0.000000,  -0.000000,   0.076479,  -0.000000,  -0.000000,   12.6000,    0.3950
